timestamp,can_id,dlc,data
1789570984.027446,0x100,8,"[100, 0, 0, 0, 0, 0, 0, 0]"
1789570984.0277965,0x200,8,"[0, 80, 0, 0, 0, 0, 0, 0]"
1789570984.0278895,0x300,8,"[45, 0, 0, 0, 0, 0, 0, 0]"
1789570984.0279708,0x400,8,"[60, 11, 184, 0, 0, 0, 0, 0]"
1789570984.5283387,0x100,8,"[100, 0, 0, 0, 0, 0, 0, 0]"
1789570984.5286138,0x200,8,"[0, 80, 0, 0, 0, 0, 0, 0]"
1789570984.5288954,0x300,8,"[45, 0, 0, 0, 0, 0, 0, 0]"
1789570984.529048,0x400,8,"[60, 11, 184, 0, 0, 0, 0, 0]"
1789570985.029725,0x100,8,"[100, 0, 0, 0, 0, 0, 0, 0]"
1789570985.0300453,0x200,8,"[0, 80, 0, 0, 0, 0, 0, 0]"
1789570985.0302713,0x300,8,"[45, 0, 0, 0, 0, 0, 0, 0]"
1789570985.0304885,0x400,8,"[60, 11, 184, 0, 0, 0, 0, 0]"
1789570985.5313056,0x100,8,"[100, 0, 0, 0, 0, 0, 0, 0]"
1789570985.5316823,0x200,8,"[0, 80, 0, 0, 0, 0, 0, 0]"
1789570985.5318432,0x300,8,"[45, 0, 0, 0, 0, 0, 0, 0]"
1789570985.5320024,0x400,8,"[60, 11, 184, 0, 0, 0, 0, 0]"
1789570986.0325296,0x100,8,"[100, 0, 0, 0, 0, 0, 0, 0]"
1789570986.032668,0x200,8,"[0, 80, 0, 0, 0, 0, 0, 0]"
1789570986.032762,0x300,8,"[45, 0, 0, 0, 0, 0, 0, 0]"
1789570986.0328395,0x400,8,"[60, 11, 184, 0, 0, 0, 0, 0]"
